quantile,value,type,location,target,forecast_date,target_end_date
0.700,33908,quantile,US,2 wk ahead inc death,2022-01-09,2022-01-22
0.750,35012,quantile,US,2 wk ahead inc death,2022-01-09,2022-01-22
0.800,36460,quantile,US,2 wk ahead inc death,2022-01-09,2022-01-22
0.850,38076,quantile,US,2 wk ahead inc death,2022-01-09,2022-01-22
0.900,40708,quantile,US,2 wk ahead inc death,2022-01-09,2022-01-22
0.950,44402,quantile,US,2 wk ahead inc death,2022-01-09,2022-01-22
0.975,48697,quantile,US,2 wk ahead inc death,2022-01-09,2022-01-22
0.990,53717,quantile,US,2 wk ahead inc death,2022-01-09,2022-01-22
0.010,19634,quantile,US,3 wk ahead inc death,2022-01-09,2022-01-29
0.025,22128,quantile,US,3 wk ahead inc death,2022-01-09,2022-01-29
0.050,24078,quantile,US,3 wk ahead inc death,2022-01-09,2022-01-29
0.100,27145,quantile,US,3 wk ahead inc death,2022-01-09,2022-01-29
0.150,28906,quantile,US,3 wk ahead inc death,2022-01-09,2022-01-29
0.200,31182,quantile,US,3 wk ahead inc death,2022-01-09,2022-01-29
0.250,33146,quantile,US,3 wk ahead inc death,2022-01-09,2022-01-29
0.300,35277,quantile,US,3 wk ahead inc death,2022-01-09,2022-01-29
0.350,37092,quantile,US,3 wk ahead inc death,2022-01-09,2022-01-29
0.400,38307,quantile,US,3 wk ahead inc death,2022-01-09,2022-01-29
0.450,39966,quantile,US,3 wk ahead inc death,2022-01-09,2022-01-29
0.500,42060,quantile,US,3 wk ahead inc death,2022-01-09,2022-01-29
NA,42060,point,US,3 wk ahead inc death,2022-01-09,2022-01-29
0.550,43872,quantile,US,3 wk ahead inc death,2022-01-09,2022-01-29
0.600,45334,quantile,US,3 wk ahead inc death,2022-01-09,2022-01-29
0.650,47251,quantile,US,3 wk ahead inc death,2022-01-09,2022-01-29
0.700,49467,quantile,US,3 wk ahead inc death,2022-01-09,2022-01-29
0.750,51532,quantile,US,3 wk ahead inc death,2022-01-09,2022-01-29
0.800,54334,quantile,US,3 wk ahead inc death,2022-01-09,2022-01-29
0.850,58061,quantile,US,3 wk ahead inc death,2022-01-09,2022-01-29
0.900,61940,quantile,US,3 wk ahead inc death,2022-01-09,2022-01-29
0.950,68054,quantile,US,3 wk ahead inc death,2022-01-09,2022-01-29
0.975,72773,quantile,US,3 wk ahead inc death,2022-01-09,2022-01-29
0.990,83022,quantile,US,3 wk ahead inc death,2022-01-09,2022-01-29
0.010,22371,quantile,US,4 wk ahead inc death,2022-01-09,2022-02-05
0.025,24925,quantile,US,4 wk ahead inc death,2022-01-09,2022-02-05
0.050,28277,quantile,US,4 wk ahead inc death,2022-01-09,2022-02-05
0.100,32645,quantile,US,4 wk ahead inc death,2022-01-09,2022-02-05
0.150,36267,quantile,US,4 wk ahead inc death,2022-01-09,2022-02-05
0.200,39514,quantile,US,4 wk ahead inc death,2022-01-09,2022-02-05
0.250,42802,quantile,US,4 wk ahead inc death,2022-01-09,2022-02-05
0.300,45546,quantile,US,4 wk ahead inc death,2022-01-09,2022-02-05
0.350,49220,quantile,US,4 wk ahead inc death,2022-01-09,2022-02-05
0.400,52269,quantile,US,4 wk ahead inc death,2022-01-09,2022-02-05
0.450,55541,quantile,US,4 wk ahead inc death,2022-01-09,2022-02-05
0.500,58906,quantile,US,4 wk ahead inc death,2022-01-09,2022-02-05
NA,58906,point,US,4 wk ahead inc death,2022-01-09,2022-02-05
0.550,61182,quantile,US,4 wk ahead inc death,2022-01-09,2022-02-05
0.600,63923,quantile,US,4 wk ahead inc death,2022-01-09,2022-02-05
0.650,67417,quantile,US,4 wk ahead inc death,2022-01-09,2022-02-05
0.700,71399,quantile,US,4 wk ahead inc death,2022-01-09,2022-02-05
0.750,75468,quantile,US,4 wk ahead inc death,2022-01-09,2022-02-05
0.800,79931,quantile,US,4 wk ahead inc death,2022-01-09,2022-02-05
0.850,86340,quantile,US,4 wk ahead inc death,2022-01-09,2022-02-05
0.900,95664,quantile,US,4 wk ahead inc death,2022-01-09,2022-02-05
0.950,110755,quantile,US,4 wk ahead inc death,2022-01-09,2022-02-05
0.975,120596,quantile,US,4 wk ahead inc death,2022-01-09,2022-02-05
0.990,129646,quantile,US,4 wk ahead inc death,2022-01-09,2022-02-05
0.010,2,quantile,02,1 wk ahead inc death,2022-01-09,2022-01-15
0.025,3,quantile,02,1 wk ahead inc death,2022-01-09,2022-01-15
0.050,4,quantile,02,1 wk ahead inc death,2022-01-09,2022-01-15
0.100,5,quantile,02,1 wk ahead inc death,2022-01-09,2022-01-15
0.150,6,quantile,02,1 wk ahead inc death,2022-01-09,2022-01-15
0.200,7,quantile,02,1 wk ahead inc death,2022-01-09,2022-01-15
0.250,8,quantile,02,1 wk ahead inc death,2022-01-09,2022-01-15
0.300,8,quantile,02,1 wk ahead inc death,2022-01-09,2022-01-15
0.350,9,quantile,02,1 wk ahead inc death,2022-01-09,2022-01-15
0.400,10,quantile,02,1 wk ahead inc death,2022-01-09,2022-01-15
0.450,11,quantile,02,1 wk ahead inc death,2022-01-09,2022-01-15
0.500,12,quantile,02,1 wk ahead inc death,2022-01-09,2022-01-15
NA,12,point,02,1 wk ahead inc death,2022-01-09,2022-01-15
0.550,13,quantile,02,1 wk ahead inc death,2022-01-09,2022-01-15
0.600,13,quantile,02,1 wk ahead inc death,2022-01-09,2022-01-15
0.650,15,quantile,02,1 wk ahead inc death,2022-01-09,2022-01-15
0.700,16,quantile,02,1 wk ahead inc death,2022-01-09,2022-01-15
0.750,17,quantile,02,1 wk ahead inc death,2022-01-09,2022-01-15
0.800,19,quantile,02,1 wk ahead inc death,2022-01-09,2022-01-15
0.850,21,quantile,02,1 wk ahead inc death,2022-01-09,2022-01-15
0.900,24,quantile,02,1 wk ahead inc death,2022-01-09,2022-01-15
0.950,31,quantile,02,1 wk ahead inc death,2022-01-09,2022-01-15
0.975,33,quantile,02,1 wk ahead inc death,2022-01-09,2022-01-15
0.990,39,quantile,02,1 wk ahead inc death,2022-01-09,2022-01-15
0.010,2,quantile,02,2 wk ahead inc death,2022-01-09,2022-01-22
0.025,3,quantile,02,2 wk ahead inc death,2022-01-09,2022-01-22
0.050,5,quantile,02,2 wk ahead inc death,2022-01-09,2022-01-22
0.100,6,quantile,02,2 wk ahead inc death,2022-01-09,2022-01-22
0.150,8,quantile,02,2 wk ahead inc death,2022-01-09,2022-01-22
0.200,9,quantile,02,2 wk ahead inc death,2022-01-09,2022-01-22
0.250,11,quantile,02,2 wk ahead inc death,2022-01-09,2022-01-22
0.300,12,quantile,02,2 wk ahead inc death,2022-01-09,2022-01-22
0.350,13,quantile,02,2 wk ahead inc death,2022-01-09,2022-01-22
0.400,15,quantile,02,2 wk ahead inc death,2022-01-09,2022-01-22
0.450,16,quantile,02,2 wk ahead inc death,2022-01-09,2022-01-22
0.500,17,quantile,02,2 wk ahead inc death,2022-01-09,2022-01-22
NA,17,point,02,2 wk ahead inc death,2022-01-09,2022-01-22
0.550,18,quantile,02,2 wk ahead inc death,2022-01-09,2022-01-22
0.600,20,quantile,02,2 wk ahead inc death,2022-01-09,2022-01-22
0.650,22,quantile,02,2 wk ahead inc death,2022-01-09,2022-01-22
0.700,24,quantile,02,2 wk ahead inc death,2022-01-09,2022-01-22
0.750,26,quantile,02,2 wk ahead inc death,2022-01-09,2022-01-22
0.800,30,quantile,02,2 wk ahead inc death,2022-01-09,2022-01-22
0.850,34,quantile,02,2 wk ahead inc death,2022-01-09,2022-01-22
0.900,41,quantile,02,2 wk ahead inc death,2022-01-09,2022-01-22
0.950,51,quantile,02,2 wk ahead inc death,2022-01-09,2022-01-22
0.975,61,quantile,02,2 wk ahead inc death,2022-01-09,2022-01-22
0.990,74,quantile,02,2 wk ahead inc death,2022-01-09,2022-01-22
0.010,3,quantile,02,3 wk ahead inc death,2022-01-09,2022-01-29
0.025,5,quantile,02,3 wk ahead inc death,2022-01-09,2022-01-29
0.050,6,quantile,02,3 wk ahead inc death,2022-01-09,2022-01-29
0.100,9,quantile,02,3 wk ahead inc death,2022-01-09,2022-01-29
0.150,10,quantile,02,3 wk ahead inc death,2022-01-09,2022-01-29
0.200,12,quantile,02,3 wk ahead inc death,2022-01-09,2022-01-29
0.250,14,quantile,02,3 wk ahead inc death,2022-01-09,2022-01-29
0.300,16,quantile,02,3 wk ahead inc death,2022-01-09,2022-01-29
0.350,17,quantile,02,3 wk ahead inc death,2022-01-09,2022-01-29
0.400,19,quantile,02,3 wk ahead inc death,2022-01-09,2022-01-29
0.450,22,quantile,02,3 wk ahead inc death,2022-01-09,2022-01-29
0.500,25,quantile,02,3 wk ahead inc death,2022-01-09,2022-01-29
NA,25,point,02,3 wk ahead inc death,2022-01-09,2022-01-29
0.550,28,quantile,02,3 wk ahead inc death,2022-01-09,2022-01-29
0.600,31,quantile,02,3 wk ahead inc death,2022-01-09,2022-01-29
0.650,34,quantile,02,3 wk ahead inc death,2022-01-09,2022-01-29
0.700,40,quantile,02,3 wk ahead inc death,2022-01-09,2022-01-29
0.750,45,quantile,02,3 wk ahead inc death,2022-01-09,2022-01-29
0.800,52,quantile,02,3 wk ahead inc death,2022-01-09,2022-01-29
0.850,62,quantile,02,3 wk ahead inc death,2022-01-09,2022-01-29
0.900,74,quantile,02,3 wk ahead inc death,2022-01-09,2022-01-29
0.950,92,quantile,02,3 wk ahead inc death,2022-01-09,2022-01-29
0.975,107,quantile,02,3 wk ahead inc death,2022-01-09,2022-01-29
0.990,134,quantile,02,3 wk ahead inc death,2022-01-09,2022-01-29
0.010,3,quantile,02,4 wk ahead inc death,2022-01-09,2022-02-05
0.025,5,quantile,02,4 wk ahead inc death,2022-01-09,2022-02-05
0.050,7,quantile,02,4 wk ahead inc death,2022-01-09,2022-02-05
0.100,9,quantile,02,4 wk ahead inc death,2022-01-09,2022-02-05
0.150,13,quantile,02,4 wk ahead inc death,2022-01-09,2022-02-05
0.200,16,quantile,02,4 wk ahead inc death,2022-01-09,2022-02-05
0.250,19,quantile,02,4 wk ahead inc death,2022-01-09,2022-02-05
0.300,22,quantile,02,4 wk ahead inc death,2022-01-09,2022-02-05
0.350,25,quantile,02,4 wk ahead inc death,2022-01-09,2022-02-05
0.400,29,quantile,02,4 wk ahead inc death,2022-01-09,2022-02-05
0.450,33,quantile,02,4 wk ahead inc death,2022-01-09,2022-02-05
0.500,38,quantile,02,4 wk ahead inc death,2022-01-09,2022-02-05
NA,38,point,02,4 wk ahead inc death,2022-01-09,2022-02-05
0.550,44,quantile,02,4 wk ahead inc death,2022-01-09,2022-02-05
0.600,49,quantile,02,4 wk ahead inc death,2022-01-09,2022-02-05
0.650,56,quantile,02,4 wk ahead inc death,2022-01-09,2022-02-05
0.700,63,quantile,02,4 wk ahead inc death,2022-01-09,2022-02-05
0.750,74,quantile,02,4 wk ahead inc death,2022-01-09,2022-02-05
0.800,85,quantile,02,4 wk ahead inc death,2022-01-09,2022-02-05
0.850,102,quantile,02,4 wk ahead inc death,2022-01-09,2022-02-05
0.900,124,quantile,02,4 wk ahead inc death,2022-01-09,2022-02-05
0.950,165,quantile,02,4 wk ahead inc death,2022-01-09,2022-02-05
0.975,199,quantile,02,4 wk ahead inc death,2022-01-09,2022-02-05
0.990,237,quantile,02,4 wk ahead inc death,2022-01-09,2022-02-05
0.010,86,quantile,01,1 wk ahead inc death,2022-01-09,2022-01-15
0.025,98,quantile,01,1 wk ahead inc death,2022-01-09,2022-01-15
0.050,131,quantile,01,1 wk ahead inc death,2022-01-09,2022-01-15
0.100,166,quantile,01,1 wk ahead inc death,2022-01-09,2022-01-15
0.150,201,quantile,01,1 wk ahead inc death,2022-01-09,2022-01-15
0.200,222,quantile,01,1 wk ahead inc death,2022-01-09,2022-01-15
0.250,249,quantile,01,1 wk ahead inc death,2022-01-09,2022-01-15
0.300,271,quantile,01,1 wk ahead inc death,2022-01-09,2022-01-15
0.350,294,quantile,01,1 wk ahead inc death,2022-01-09,2022-01-15
0.400,319,quantile,01,1 wk ahead inc death,2022-01-09,2022-01-15
0.450,342,quantile,01,1 wk ahead inc death,2022-01-09,2022-01-15
0.500,369,quantile,01,1 wk ahead inc death,2022-01-09,2022-01-15
NA,369,point,01,1 wk ahead inc death,2022-01-09,2022-01-15
0.550,406,quantile,01,1 wk ahead inc death,2022-01-09,2022-01-15
0.600,442,quantile,01,1 wk ahead inc death,2022-01-09,2022-01-15
0.650,488,quantile,01,1 wk ahead inc death,2022-01-09,2022-01-15
0.700,530,quantile,01,1 wk ahead inc death,2022-01-09,2022-01-15
0.750,573,quantile,01,1 wk ahead inc death,2022-01-09,2022-01-15
0.800,627,quantile,01,1 wk ahead inc death,2022-01-09,2022-01-15
0.850,688,quantile,01,1 wk ahead inc death,2022-01-09,2022-01-15
0.900,769,quantile,01,1 wk ahead inc death,2022-01-09,2022-01-15
0.950,948,quantile,01,1 wk ahead inc death,2022-01-09,2022-01-15
0.975,1083,quantile,01,1 wk ahead inc death,2022-01-09,2022-01-15
0.990,1303,quantile,01,1 wk ahead inc death,2022-01-09,2022-01-15
0.010,150,quantile,01,2 wk ahead inc death,2022-01-09,2022-01-22
0.025,206,quantile,01,2 wk ahead inc death,2022-01-09,2022-01-22
0.050,245,quantile,01,2 wk ahead inc death,2022-01-09,2022-01-22
0.100,337,quantile,01,2 wk ahead inc death,2022-01-09,2022-01-22
0.150,413,quantile,01,2 wk ahead inc death,2022-01-09,2022-01-22
0.200,468,quantile,01,2 wk ahead inc death,2022-01-09,2022-01-22
0.250,537,quantile,01,2 wk ahead inc death,2022-01-09,2022-01-22
0.300,592,quantile,01,2 wk ahead inc death,2022-01-09,2022-01-22
0.350,653,quantile,01,2 wk ahead inc death,2022-01-09,2022-01-22
0.400,713,quantile,01,2 wk ahead inc death,2022-01-09,2022-01-22
0.450,775,quantile,01,2 wk ahead inc death,2022-01-09,2022-01-22
0.500,840,quantile,01,2 wk ahead inc death,2022-01-09,2022-01-22
NA,840,point,01,2 wk ahead inc death,2022-01-09,2022-01-22
0.550,919,quantile,01,2 wk ahead inc death,2022-01-09,2022-01-22
0.600,998,quantile,01,2 wk ahead inc death,2022-01-09,2022-01-22
0.650,1098,quantile,01,2 wk ahead inc death,2022-01-09,2022-01-22
0.700,1185,quantile,01,2 wk ahead inc death,2022-01-09,2022-01-22
0.750,1320,quantile,01,2 wk ahead inc death,2022-01-09,2022-01-22
0.800,1454,quantile,01,2 wk ahead inc death,2022-01-09,2022-01-22
0.850,1671,quantile,01,2 wk ahead inc death,2022-01-09,2022-01-22
0.900,1925,quantile,01,2 wk ahead inc death,2022-01-09,2022-01-22
0.950,2319,quantile,01,2 wk ahead inc death,2022-01-09,2022-01-22
0.975,2860,quantile,01,2 wk ahead inc death,2022-01-09,2022-01-22
0.990,3740,quantile,01,2 wk ahead inc death,2022-01-09,2022-01-22
0.010,243,quantile,01,3 wk ahead inc death,2022-01-09,2022-01-29
0.025,342,quantile,01,3 wk ahead inc death,2022-01-09,2022-01-29
0.050,413,quantile,01,3 wk ahead inc death,2022-01-09,2022-01-29
0.100,587,quantile,01,3 wk ahead inc death,2022-01-09,2022-01-29
0.150,715,quantile,01,3 wk ahead inc death,2022-01-09,2022-01-29
0.200,837,quantile,01,3 wk ahead inc death,2022-01-09,2022-01-29
0.250,930,quantile,01,3 wk ahead inc death,2022-01-09,2022-01-29
0.300,1032,quantile,01,3 wk ahead inc death,2022-01-09,2022-01-29
0.350,1123,quantile,01,3 wk ahead inc death,2022-01-09,2022-01-29
0.400,1285,quantile,01,3 wk ahead inc death,2022-01-09,2022-01-29
0.450,1406,quantile,01,3 wk ahead inc death,2022-01-09,2022-01-29
0.500,1547,quantile,01,3 wk ahead inc death,2022-01-09,2022-01-29
NA,1547,point,01,3 wk ahead inc death,2022-01-09,2022-01-29
0.550,1723,quantile,01,3 wk ahead inc death,2022-01-09,2022-01-29
0.600,1875,quantile,01,3 wk ahead inc death,2022-01-09,2022-01-29
0.650,2040,quantile,01,3 wk ahead inc death,2022-01-09,2022-01-29
0.700,2276,quantile,01,3 wk ahead inc death,2022-01-09,2022-01-29
0.750,2526,quantile,01,3 wk ahead inc death,2022-01-09,2022-01-29
0.800,2892,quantile,01,3 wk ahead inc death,2022-01-09,2022-01-29
0.850,3480,quantile,01,3 wk ahead inc death,2022-01-09,2022-01-29
0.900,4075,quantile,01,3 wk ahead inc death,2022-01-09,2022-01-29
0.950,4951,quantile,01,3 wk ahead inc death,2022-01-09,2022-01-29
0.975,6056,quantile,01,3 wk ahead inc death,2022-01-09,2022-01-29
0.990,8179,quantile,01,3 wk ahead inc death,2022-01-09,2022-01-29
0.010,310,quantile,01,4 wk ahead inc death,2022-01-09,2022-02-05
0.025,504,quantile,01,4 wk ahead inc death,2022-01-09,2022-02-05
0.050,629,quantile,01,4 wk ahead inc death,2022-01-09,2022-02-05
0.100,866,quantile,01,4 wk ahead inc death,2022-01-09,2022-02-05
0.150,1072,quantile,01,4 wk ahead inc death,2022-01-09,2022-02-05
0.200,1272,quantile,01,4 wk ahead inc death,2022-01-09,2022-02-05
0.250,1427,quantile,01,4 wk ahead inc death,2022-01-09,2022-02-05
0.300,1606,quantile,01,4 wk ahead inc death,2022-01-09,2022-02-05
0.350,1764,quantile,01,4 wk ahead inc death,2022-01-09,2022-02-05
0.400,1955,quantile,01,4 wk ahead inc death,2022-01-09,2022-02-05
0.450,2155,quantile,01,4 wk ahead inc death,2022-01-09,2022-02-05
0.500,2334,quantile,01,4 wk ahead inc death,2022-01-09,2022-02-05
NA,2334,point,01,4 wk ahead inc death,2022-01-09,2022-02-05
0.550,2501,quantile,01,4 wk ahead inc death,2022-01-09,2022-02-05
0.600,2715,quantile,01,4 wk ahead inc death,2022-01-09,2022-02-05
0.650,3025,quantile,01,4 wk ahead inc death,2022-01-09,2022-02-05
0.700,3287,quantile,01,4 wk ahead inc death,2022-01-09,2022-02-05
0.750,3680,quantile,01,4 wk ahead inc death,2022-01-09,2022-02-05
0.800,4107,quantile,01,4 wk ahead inc death,2022-01-09,2022-02-05
0.850,4573,quantile,01,4 wk ahead inc death,2022-01-09,2022-02-05
0.900,5359,quantile,01,4 wk ahead inc death,2022-01-09,2022-02-05
0.950,6404,quantile,01,4 wk ahead inc death,2022-01-09,2022-02-05
0.975,7527,quantile,01,4 wk ahead inc death,2022-01-09,2022-02-05
0.990,9370,quantile,01,4 wk ahead inc death,2022-01-09,2022-02-05
0.010,144,quantile,05,1 wk ahead inc death,2022-01-09,2022-01-15
0.025,160,quantile,05,1 wk ahead inc death,2022-01-09,2022-01-15
0.050,172,quantile,05,1 wk ahead inc death,2022-01-09,2022-01-15
0.100,189,quantile,05,1 wk ahead inc death,2022-01-09,2022-01-15
0.150,204,quantile,05,1 wk ahead inc death,2022-01-09,2022-01-15
0.200,215,quantile,05,1 wk ahead inc death,2022-01-09,2022-01-15
0.250,225,quantile,05,1 wk ahead inc death,2022-01-09,2022-01-15
0.300,238,quantile,05,1 wk ahead inc death,2022-01-09,2022-01-15
0.350,251,quantile,05,1 wk ahead inc death,2022-01-09,2022-01-15
0.400,263,quantile,05,1 wk ahead inc death,2022-01-09,2022-01-15
0.450,273,quantile,05,1 wk ahead inc death,2022-01-09,2022-01-15
0.500,281,quantile,05,1 wk ahead inc death,2022-01-09,2022-01-15
NA,281,point,05,1 wk ahead inc death,2022-01-09,2022-01-15
0.550,292,quantile,05,1 wk ahead inc death,2022-01-09,2022-01-15
0.600,303,quantile,05,1 wk ahead inc death,2022-01-09,2022-01-15
0.650,314,quantile,05,1 wk ahead inc death,2022-01-09,2022-01-15
0.700,324,quantile,05,1 wk ahead inc death,2022-01-09,2022-01-15
0.750,340,quantile,05,1 wk ahead inc death,2022-01-09,2022-01-15
0.800,360,quantile,05,1 wk ahead inc death,2022-01-09,2022-01-15
0.850,382,quantile,05,1 wk ahead inc death,2022-01-09,2022-01-15
0.900,410,quantile,05,1 wk ahead inc death,2022-01-09,2022-01-15
0.950,465,quantile,05,1 wk ahead inc death,2022-01-09,2022-01-15
0.975,501,quantile,05,1 wk ahead inc death,2022-01-09,2022-01-15
0.990,555,quantile,05,1 wk ahead inc death,2022-01-09,2022-01-15
0.010,172,quantile,05,2 wk ahead inc death,2022-01-09,2022-01-22
0.025,191,quantile,05,2 wk ahead inc death,2022-01-09,2022-01-22
0.050,213,quantile,05,2 wk ahead inc death,2022-01-09,2022-01-22
0.100,247,quantile,05,2 wk ahead inc death,2022-01-09,2022-01-22
0.150,278,quantile,05,2 wk ahead inc death,2022-01-09,2022-01-22
0.200,309,quantile,05,2 wk ahead inc death,2022-01-09,2022-01-22
0.250,329,quantile,05,2 wk ahead inc death,2022-01-09,2022-01-22
0.300,355,quantile,05,2 wk ahead inc death,2022-01-09,2022-01-22
0.350,373,quantile,05,2 wk ahead inc death,2022-01-09,2022-01-22
0.400,401,quantile,05,2 wk ahead inc death,2022-01-09,2022-01-22
0.450,421,quantile,05,2 wk ahead inc death,2022-01-09,2022-01-22
0.500,456,quantile,05,2 wk ahead inc death,2022-01-09,2022-01-22
NA,456,point,05,2 wk ahead inc death,2022-01-09,2022-01-22
0.550,480,quantile,05,2 wk ahead inc death,2022-01-09,2022-01-22
0.600,504,quantile,05,2 wk ahead inc death,2022-01-09,2022-01-22
0.650,543,quantile,05,2 wk ahead inc death,2022-01-09,2022-01-22
0.700,573,quantile,05,2 wk ahead inc death,2022-01-09,2022-01-22
0.750,616,quantile,05,2 wk ahead inc death,2022-01-09,2022-01-22
0.800,671,quantile,05,2 wk ahead inc death,2022-01-09,2022-01-22
0.850,735,quantile,05,2 wk ahead inc death,2022-01-09,2022-01-22
0.900,819,quantile,05,2 wk ahead inc death,2022-01-09,2022-01-22
0.950,944,quantile,05,2 wk ahead inc death,2022-01-09,2022-01-22
0.975,1026,quantile,05,2 wk ahead inc death,2022-01-09,2022-01-22
0.990,1246,quantile,05,2 wk ahead inc death,2022-01-09,2022-01-22
0.010,170,quantile,05,3 wk ahead inc death,2022-01-09,2022-01-29
0.025,199,quantile,05,3 wk ahead inc death,2022-01-09,2022-01-29
0.050,234,quantile,05,3 wk ahead inc death,2022-01-09,2022-01-29
0.100,304,quantile,05,3 wk ahead inc death,2022-01-09,2022-01-29
0.150,347,quantile,05,3 wk ahead inc death,2022-01-09,2022-01-29
0.200,397,quantile,05,3 wk ahead inc death,2022-01-09,2022-01-29
0.250,441,quantile,05,3 wk ahead inc death,2022-01-09,2022-01-29
0.300,481,quantile,05,3 wk ahead inc death,2022-01-09,2022-01-29
0.350,512,quantile,05,3 wk ahead inc death,2022-01-09,2022-01-29
0.400,561,quantile,05,3 wk ahead inc death,2022-01-09,2022-01-29
0.450,609,quantile,05,3 wk ahead inc death,2022-01-09,2022-01-29
0.500,652,quantile,05,3 wk ahead inc death,2022-01-09,2022-01-29
NA,652,point,05,3 wk ahead inc death,2022-01-09,2022-01-29
0.550,704,quantile,05,3 wk ahead inc death,2022-01-09,2022-01-29
0.600,748,quantile,05,3 wk ahead inc death,2022-01-09,2022-01-29
0.650,817,quantile,05,3 wk ahead inc death,2022-01-09,2022-01-29
0.700,893,quantile,05,3 wk ahead inc death,2022-01-09,2022-01-29
0.750,973,quantile,05,3 wk ahead inc death,2022-01-09,2022-01-29
0.800,1075,quantile,05,3 wk ahead inc death,2022-01-09,2022-01-29
0.850,1196,quantile,05,3 wk ahead inc death,2022-01-09,2022-01-29
0.900,1348,quantile,05,3 wk ahead inc death,2022-01-09,2022-01-29
0.950,1531,quantile,05,3 wk ahead inc death,2022-01-09,2022-01-29
0.975,1698,quantile,05,3 wk ahead inc death,2022-01-09,2022-01-29
0.990,2179,quantile,05,3 wk ahead inc death,2022-01-09,2022-01-29
0.010,167,quantile,05,4 wk ahead inc death,2022-01-09,2022-02-05
0.025,211,quantile,05,4 wk ahead inc death,2022-01-09,2022-02-05
0.050,262,quantile,05,4 wk ahead inc death,2022-01-09,2022-02-05
0.100,339,quantile,05,4 wk ahead inc death,2022-01-09,2022-02-05
0.150,412,quantile,05,4 wk ahead inc death,2022-01-09,2022-02-05
0.200,474,quantile,05,4 wk ahead inc death,2022-01-09,2022-02-05
0.250,535,quantile,05,4 wk ahead inc death,2022-01-09,2022-02-05
0.300,587,quantile,05,4 wk ahead inc death,2022-01-09,2022-02-05
0.350,645,quantile,05,4 wk ahead inc death,2022-01-09,2022-02-05
0.400,694,quantile,05,4 wk ahead inc death,2022-01-09,2022-02-05
0.450,768,quantile,05,4 wk ahead inc death,2022-01-09,2022-02-05
0.500,834,quantile,05,4 wk ahead inc death,2022-01-09,2022-02-05
NA,834,point,05,4 wk ahead inc death,2022-01-09,2022-02-05
0.550,911,quantile,05,4 wk ahead inc death,2022-01-09,2022-02-05
